""," [1] "," [2] "," [3] ","F-test for balance","[2]-[1]","[3]-[1]"
"","Mn Below LOD","Detected \ensuremath{<} Threshold","Above USEPA","across all groups","Pairwise t-test","Pairwise t-test"
"Variable","Mean/[SE]","Mean/[SE]","Mean/[SE]","F-stat/P-value","Mean difference","Mean difference"
"Child is female","0.542","0.505","0.517","0.812","-0.037","-0.024"
"","[0.073]","[0.051]","[0.097]","0.446","",""
"Age of child in months in endline","41.417","40.602","39.655","1.354","-0.815","-1.761"
"","[0.799]","[0.592]","[1.041]","0.261","",""
"Engage in following activities with focal child: \\ \hspace{20pt} Told Stories","0.167","0.388","0.345","2.496*","0.222**","0.178"
"","[0.055]","[0.050]","[0.091]","0.085","",""
"\hspace{20pt} Named, counted, or drew things with the child","0.646","0.825","0.897","1.237","0.179","0.251"
"","[0.073]","[0.038]","[0.058]","0.293","",""
"\hspace{20pt} Played with the child","0.958","0.961","1.000","1.103","0.003","0.042"
"","[0.029]","[0.019]","[0.000]","0.334","",""
"\hspace{20pt} Taken to work","0.188","0.340","0.414","1.097","0.152","0.226"
"","[0.058]","[0.048]","[0.095]","0.336","",""
"Focal child played with the following at home: \\ \hspace{20pt} Homemade toys","0.354","0.505","0.414","0.509","0.151","0.060"
"","[0.071]","[0.051]","[0.098]","0.602","",""
"\hspace{20pt} Toys from a shop or manufactured toys","0.438","0.515","0.517","0.518","0.077","0.080"
"","[0.075]","[0.051]","[0.097]","0.597","",""
"\hspace{20pt} Household objects","0.917","0.903","0.828","0.243","-0.014","-0.089"
"","[0.040]","[0.029]","[0.072]","0.784","",""
"\hspace{20pt} Objects from outside","0.875","0.942","0.828","1.562","0.067","-0.047"
"","[0.049]","[0.023]","[0.072]","0.213","",""
"\hspace{20pt} Drawing or writing materials","0.396","0.534","0.517","0.292","0.138","0.121"
"","[0.073]","[0.051]","[0.098]","0.747","",""
"\hspace{20pt} Puzzles","0.042","0.039","0.034","0.037","-0.003","-0.007"
"","[0.029]","[0.019]","[0.035]","0.963","",""
"Who engage in activities with focal child: \\ \hspace{20pt} Mother","0.896","0.777","0.655","3.583**","-0.119","-0.241***"
"","[0.045]","[0.043]","[0.096]","0.030","",""
"\hspace{20pt} Father","0.208","0.272","0.379","0.554","0.064","0.171"
"","[0.060]","[0.046]","[0.094]","0.576","",""
"\hspace{20pt} Another Adult Relatives","0.271","0.320","0.241","1.609","0.050*","-0.029"
"","[0.069]","[0.048]","[0.089]","0.203","",""
"F-test of joint significance [F-stat]","","","","","1.684*","1.684*"
"Number of observations","48","103","29","180","151","77"
"Number of clusters","46","99","28","173","145","74"
