"",""," [1] ",""," [2] ",""," [3] ","","F-test for balance","","[2]-[1]","","[3]-[1]"
"","","Mn Below LOD","","Detected \ensuremath{<} Threshold","","Above USEPA","","across all groups","","Pairwise t-test","","Pairwise t-test"
"Variable","N/Clusters","Mean/[SE]","N/Clusters","Mean/[SE]","N/Clusters","Mean/[SE]","N/Clusters","F-stat/P-value","N/Clusters","Mean difference","N/Clusters","Mean difference"
"Main language with children: \\ \hspace{20pt} English","46","0.065","99","0.091","28","0.143","173","0.218","145","0.026","74","0.078"
"","46","[0.037]","99","[0.029]","28","[0.067]","173","0.804","145","","74",""
"\hspace{20pt} Twi/Fante","46","0.500","99","0.657","28","0.643","173","0.826","145","0.157","74","0.143"
"","46","[0.075]","99","[0.048]","28","[0.092]","173","0.439","145","","74",""
"Household size","46","5.870","99","5.960","28","5.679","173","0.020","145","0.090","74","-0.191"
"","46","[0.478]","99","[0.260]","28","[0.434]","173","0.980","145","","74",""
"Number of children in household","46","1.630","99","1.768","28","1.464","173","1.337","145","0.137","74","-0.166"
"","46","[0.109]","99","[0.091]","28","[0.120]","173","0.265","145","","74",""
"Own any house","46","0.391","99","0.495","28","0.500","173","0.100","145","0.104","74","0.109"
"","46","[0.073]","99","[0.051]","28","[0.096]","173","0.905","145","","74",""
"Own any ag or non-ag land","46","0.478","99","0.515","28","0.679","173","0.772","145","0.037","74","0.200"
"","46","[0.074]","99","[0.050]","28","[0.090]","173","0.463","145","","74",""
"Annual income: \\ \hspace{20pt} Greater than 20,000 cedis","46","0.130","99","0.263","28","0.250","173","1.089","145","0.132","74","0.120"
"","46","[0.050]","99","[0.044]","28","[0.083]","173","0.339","145","","74",""
"\hspace{20pt} 10,000 to 19,999 cedis","46","0.109","99","0.202","28","0.250","173","0.460","145","0.093","74","0.141"
"","46","[0.046]","99","[0.041]","28","[0.083]","173","0.632","145","","74",""
"\hspace{20pt} 5,000 to 9,999 cedis","46","0.435","99","0.263","28","0.286","173","1.973","145","-0.172**","74","-0.149"
"","46","[0.074]","99","[0.044]","28","[0.087]","173","0.142","145","","74",""
"Primary Caregiver is female","46","1.000","99","0.949","28","0.964","173","2.326","145","-0.051*","74","-0.036"
"","46","[0.000]","99","[0.022]","28","[0.036]","173","0.101","145","","74",""
"Caregiver age","46","30.391","99","32.101","28","33.321","173","1.917","145","1.710","74","2.930**"
"","46","[1.118]","99","[0.928]","28","[1.788]","173","0.150","145","","74",""
"Nature of Employment: Agricultural/Farm Work","46","0.174","99","0.182","28","0.214","173","0.002","145","0.008","74","0.040"
"","46","[0.057]","99","[0.039]","28","[0.079]","173","0.998","145","","74",""
"Nature of Employment: Retail and Trade","46","0.326","99","0.263","28","0.250","173","0.951","145","-0.063","74","-0.076"
"","46","[0.070]","99","[0.044]","28","[0.083]","173","0.388","145","","74",""
"Nature of Employment: Services","46","0.217","99","0.222","28","0.286","173","0.180","145","0.005","74","0.068"
"","46","[0.061]","99","[0.042]","28","[0.087]","173","0.835","145","","74",""
"Highest Degree: Primary","46","0.283","99","0.253","28","0.179","173","0.215","145","-0.030","74","-0.104"
"","46","[0.067]","99","[0.044]","28","[0.074]","173","0.807","145","","74",""
"Highest Degree: Secondary","46","0.391","99","0.364","28","0.607","173","2.599*","145","-0.028","74","0.216"
"","46","[0.073]","99","[0.049]","28","[0.094]","173","0.077","145","","74",""
"Highest Degree: Senior Secondary and Higher","46","0.174","99","0.242","28","0.179","173","0.624","145","0.069","74","0.005"
"","46","[0.057]","99","[0.043]","28","[0.074]","173","0.537","145","","74",""
"Whether the caregiver is the school respondent","46","0.587","99","0.566","28","0.571","173","0.020","145","-0.021","74","-0.016"
"","46","[0.073]","99","[0.050]","28","[0.095]","173","0.980","145","","74",""
"F-test of joint significance [F-stat]","","","","","","","","","","1.465","","24.881***"
"F-test, number of observations","","","","","","","","","","145","","74"
"F-test, number of clusters","","","","","","","","","","145","","74"
