""," [1] "," [2] "," [3] ","F-test for balance","[2]-[1]","[3]-[1]"
"","Mn Below LOD","Detected \ensuremath{<} Threshold","Above USEPA","across all groups","Pairwise t-test","Pairwise t-test"
"Variable","Mean/[SE]","Mean/[SE]","Mean/[SE]","F-stat/P-value","Mean difference","Mean difference"
"Main current drinking water is safe to drink","0.935","0.929","0.964","0.434","-0.005","0.030"
"","[0.037]","[0.026]","[0.036]","0.649","",""
"Treat the drinking water","0.022","0.040","0.107","1.789","0.019","0.085*"
"","[0.022]","[0.020]","[0.060]","0.170","",""
"\hspace{20pt} Aluminum sulfate","0.022","0.010","0.143","2.228","-0.012","0.121*"
"","[0.022]","[0.010]","[0.067]","0.111","",""
"\hspace{20pt} Chlorine","0.022","0.000","0.036","1.015","-0.022","0.014"
"","[0.022]","[0.000]","[0.036]","0.365","",""
"Switch drinking water source during the dry season","0.217","0.162","0.250","0.128","-0.056","0.033"
"","[0.061]","[0.037]","[0.083]","0.880","",""
"Main dry-season drinking water is safe to drink","0.957","0.929","0.929","0.113","-0.027","-0.028"
"","[0.030]","[0.026]","[0.050]","0.893","",""
"F-test of joint significance [F-stat]","","","","","8.793***","32.629***"
"Number of observations","46","99","28","173","145","74"
"Number of clusters","46","99","28","173","145","74"
