
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Total",="River",="Sachet",="Borehole",="Piped Water",="Well"

="Any Metals: Exceed WHO Limit",="0.13",="0.30",="0.27",="0.10",="0.04",="0.12"
="",="(0.337)",="(0.465)",="(0.458)",="(0.304)",="(0.196)",="(0.354)"

="  Exceed EPA Primary Limit",="0.01",="0.00",="0.00",="0.01",="0.00",="0.12"
="",="(0.108)",="(0)",="(0)",="(0.120)",="(0)",="(0.354)"

="  Exceed EPA Secondary Limit",="0.19",="0.41",="0.27",="0.17",="0.08",="0.12"
="",="(0.392)",="(0.501)",="(0.458)",="(0.382)",="(0.272)",="(0.354)"

="Exceed EPA or WHO Limit: Pb",="0.01",="0.00",="0.00",="0.01",="0.00",="0.12"
="",="(0.108)",="(0)",="(0)",="(0.120)",="(0)",="(0.354)"

="Hg",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)"

="Cd",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)"

="Cr",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)"

="Cu",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)"

="Mn",="0.17",="0.33",="0.27",="0.17",="0.08",="0.00"
="",="(0.377)",="(0.480)",="(0.458)",="(0.382)",="(0.272)",="(0)"

="Zn",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)"

="Fe",="0.04",="0.22",="0.07",="0.00",="0.00",="0.00"
="",="(0.199)",="(0.424)",="(0.258)",="(0)",="(0)",="(0)"

="Al",="0.02",="0.07",="0.00",="0.00",="0.00",="0.12"
="",="(0.132)",="(0.267)",="(0)",="(0)",="(0)",="(0.354)"

="Pb (ug/L)",="0.56",="Below LOD",="Below LOD",="1.18",="Below LOD",="1.68"
="",="(5.949)",="",="",="(9.202)",="",="(4.753)"

="Hg (ug/L)",="Below LOD",="Below LOD",="Below LOD",="Below LOD",="Below LOD",="Below LOD"
="",="",="",="",="",="",=""

="Zn (ug/L)",="54.65",="37.15",="40.64",="49.59",="60.94",="143.43"
="",="(59.43)",="(23.71)",="(22.77)",="(36.43)",="(55.85)",="(189.3)"

="Cd (ug/L)",="Below LOD",="Below LOD",="Below LOD",="Below LOD",="Below LOD",="Below LOD"
="",="",="",="",="",="",=""

="Mn (ug/L)",="38.22",="68.25",="49.62",="36.37",="24.69",="17.66"
="",="(85.36)",="(102.0)",="(82.54)",="(93.34)",="(68.15)",="(12.98)"

="Fe (ug/L)",="50.22",="178.12",="234.31",="1.88",="1.66",="Below LOD"
="",="(275.3)",="(456.5)",="(661.5)",="(11.50)",="(11.82)",=""

="Cr (ug/L)",="0.07",="Below LOD",="Below LOD",="Below LOD",="0.24",="Below LOD"
="",="(0.940)",="",="",="",="(1.717)",=""

="Al (ug/L)",="10.90",="35.79",="13.05",="2.19",="3.40",="45.84"
="",="(60.26)",="(129.2)",="(50.55)",="(11.74)",="(18.57)",="(108.6)"

="Cu (ug/L)",="3.88",="0.26",="1.58",="2.95",="5.33",="19.07"
="",="(17.75)",="(1.350)",="(6.112)",="(8.441)",="(22.38)",="(53.93)"

="Observations",="170",="27",="15",="69",="51",="8"

